기간,행정구역,미성년자,성인,남성_인구,여성_인구,총인구수,미성년자_비율,성인_비율,남녀_성비
2017,강남구,104370,354113,266442,289722,556164,18.77,63.67,91.96
2017,강동구,75133,273864,216777,219446,436223,17.22,62.78,98.78
2017,강북구,47267,197084,158918,165561,324479,14.57,60.74,95.99
2017,강서구,100950,384787,292989,308702,601691,16.78,63.95,94.91
2017,관악구,63898,338623,253661,249636,503297,12.7,67.28,101.61
2017,광진구,55087,236733,174414,183289,357703,15.4,66.18,95.16
2017,구로구,67981,255867,204003,206739,410742,16.55,62.29,98.68
2017,금천구,33715,150839,119497,115657,235154,14.34,64.14,103.32
2017,노원구,105227,339564,269508,284895,554403,18.98,61.25,94.6
2017,도봉구,55198,209863,168759,175407,344166,16.04,60.98,96.21
2017,동대문구,51608,219036,175324,175323,350647,14.72,62.47,100.0
2017,동작구,60988,252737,193255,202962,396217,15.39,63.79,95.22
2017,마포구,60716,244013,178939,195976,374915,16.19,65.08,91.31
2017,서대문구,48677,195242,151144,161656,312800,15.56,62.42,93.5
2017,서초구,87400,274437,211236,229866,441102,19.81,62.22,91.9
2017,성동구,47291,197133,150368,154440,304808,15.52,64.67,97.36
2017,성북구,75354,273874,216556,227499,444055,16.97,61.68,95.19
2017,송파구,120844,423798,323147,341349,664496,18.19,63.78,94.67
2017,양천구,94124,292331,232518,238636,471154,19.98,62.05,97.44
2017,영등포구,55009,236022,183975,184575,368550,14.93,64.04,99.67
2017,용산구,33318,144296,110878,118283,229161,14.54,62.97,93.74
2017,은평구,80354,299258,236353,250441,486794,16.51,61.48,94.37
2017,종로구,21981,96269,75967,78803,154770,14.2,62.2,96.4
2017,중구,16056,79320,62253,63456,125709,12.77,63.1,98.1
2017,중랑구,60572,258733,203325,204901,408226,14.84,63.38,99.23
