기간,행정구역,미성년자,성인,남성_인구,여성_인구,총인구수,미성년자_비율,성인_비율,남녀_성비
2019,강남구,99155,341839,260806,284363,545169,18.19,62.7,91.72
2019,강동구,70623,267704,215335,220732,436067,16.2,61.39,97.55
2019,강북구,41080,186920,153235,160719,313954,13.08,59.54,95.34
2019,강서구,91410,372839,286563,305233,591796,15.45,63.0,93.88
2019,관악구,55797,336650,251009,249085,500094,11.16,67.32,100.77
2019,광진구,49230,230054,170262,181088,351350,14.01,65.48,94.02
2019,구로구,62080,248746,200987,205677,406664,15.27,61.17,97.72
2019,금천구,29551,147448,118209,114601,232810,12.69,63.33,103.15
2019,노원구,92613,320771,257923,274982,532905,17.38,60.19,93.8
2019,도봉구,48396,197924,163051,170311,333362,14.52,59.37,95.74
2019,동대문구,47342,213557,172113,174081,346194,13.67,61.69,98.87
2019,동작구,56047,250285,191976,203987,395963,14.15,63.21,94.11
2019,마포구,56287,243019,176891,197144,374035,15.05,64.97,89.73
2019,서대문구,45010,191015,148663,160734,309397,14.55,61.74,92.49
2019,서초구,81964,264580,206039,224787,430826,19.02,61.41,91.66
2019,성동구,43418,192564,147273,153616,300889,14.43,64.0,95.87
2019,성북구,70096,270693,214437,228213,442650,15.84,61.15,93.96
2019,송파구,115307,425636,327164,348797,675961,17.06,62.97,93.8
2019,양천구,85739,278883,225186,232979,458165,18.71,60.87,96.66
2019,영등포구,50306,234333,182438,185240,367678,13.68,63.73,98.49
2019,용산구,30523,143488,110356,118314,228670,13.35,62.75,93.27
2019,은평구,72390,291315,231528,248504,480032,15.08,60.69,93.17
2019,종로구,19959,92739,73746,77544,151290,13.19,61.3,95.1
2019,중구,14697,78582,61910,64261,126171,11.65,62.28,96.34
2019,중랑구,53244,245949,196959,200056,397015,13.41,61.95,98.45
